Source Account,Tweets,Date,Compound,Positive,Negative,Neutral,Tweets Ago
CNN,"Former first lady Michelle Obama urges Democrats to turn out for the midterm elections, telling them ""democracy con… https://t.co/WKFoZgKwhb",Mon Sep 24 14:24:06 +0000 2018,0.0,0.0,0.0,1.0,69
CNN,"Obesity is set to overtake smoking as the leading preventable cause of cancer in women in the UK, a report warns… https://t.co/UmqjcYuBKe",Mon Sep 24 14:17:03 +0000 2018,-0.6597,0.0,0.18,0.82,70
CNN,This juror says Bill Cosby's own admission led to his conviction https://t.co/zcjcf6VVIu https://t.co/z9946HszTd,Mon Sep 24 14:10:06 +0000 2018,0.0,0.0,0.0,1.0,71
CNN,Cristiano Ronaldo scores to maintain Juventus' perfect start https://t.co/HrvRw6aGI1 https://t.co/lmuBIrA0YI,Mon Sep 24 14:03:05 +0000 2018,0.5719,0.291,0.0,0.709,72
CNN,Bill Cosby just walked into court on the arm of his publicist Andrew Wyatt. At one point he pointed to the crowd ou… https://t.co/nhtJKZ1mN9,Mon Sep 24 13:56:03 +0000 2018,0.0,0.0,0.0,1.0,73
CNN,Here's how the world reacted to Tiger Woods winning the Tour Championship and his first victory in more than five y… https://t.co/tthfASs5Hh,Mon Sep 24 13:49:03 +0000 2018,0.743,0.24,0.0,0.76,74
CNN,Bill Cosby's case was the first celebrity sexual assault trial since the #MeToo movement began last fall… https://t.co/TBedb8CSVz,Mon Sep 24 13:42:05 +0000 2018,-0.5859,0.0,0.183,0.817,75
CNN,We're watching markets open after SiriusXM announced it is buying Pandora in a $3.5 billion all-stock deal. Follow… https://t.co/Y48ZrkY5D7,Mon Sep 24 13:35:06 +0000 2018,0.0,0.0,0.0,1.0,76
CNN,Are you tall? Better watch out for varicose veins https://t.co/orKDOD3qmX https://t.co/20VY3b9G5o,Mon Sep 24 13:30:08 +0000 2018,0.4404,0.225,0.0,0.775,77
CNN,World's first Boeing 777 retires to Arizona air museum https://t.co/lEc6NeMouU https://t.co/zJmSX5LmIZ,Mon Sep 24 13:23:04 +0000 2018,0.0,0.0,0.0,1.0,78
CNN,"""There's a chance that this could be one of the single most unfair, unjust things to happen to a candidate for anyt… https://t.co/NivCa6vp3c",Mon Sep 24 13:16:14 +0000 2018,-0.7159,0.074,0.258,0.667,79
CNN,Open your ears — and your mind — to Christine Blasey Ford https://t.co/WSJF6PTyR6 (via @CNNOpinion) https://t.co/P98sWoupLD,Mon Sep 24 13:00:20 +0000 2018,0.0,0.0,0.0,1.0,80
CNN,Two musical senators among those pushing bill to help songwriters https://t.co/29Oa9sN8wH https://t.co/tcHJyzro5d,Mon Sep 24 12:45:07 +0000 2018,0.4019,0.197,0.0,0.803,81
CNN,Bill Cosby's sentencing hearing starts today. Here's what you need to know about his trial: https://t.co/XunBcs5tW8 https://t.co/aVM2B1WBIc,Mon Sep 24 12:30:13 +0000 2018,-0.1531,0.0,0.091,0.909,82
CNN,"At event in Las Vegas, former first lady Michelle Obama says she is ""sick of all the chaos and the nastiness of our… https://t.co/dQIxAN4y72",Mon Sep 24 12:23:59 +0000 2018,-0.8442,0.0,0.302,0.698,83
CNN,"Canada's Barrick Gold is buying rival Randgold to create the world's biggest gold miner, the two companies have ann… https://t.co/NizSq2QU3s",Mon Sep 24 12:00:07 +0000 2018,0.2732,0.1,0.0,0.9,84
CNN,"How Cheburashka, the ""Soviet Mickey Mouse,"" achieved international fame https://t.co/zH2hnkKfxw (We previously twee… https://t.co/tmM0MMs4V7",Mon Sep 24 11:48:22 +0000 2018,0.4404,0.182,0.0,0.818,85
CNN,BREAKING: SiriusXM is buying Pandora in a $3.5 billion deal that will create the world's largest audio entertainmen… https://t.co/M4DC8AcCLz,Mon Sep 24 11:41:58 +0000 2018,0.2732,0.11,0.0,0.89,86
CNN,Democratic group launches Trump-bashing $3 million online voter registration campaign https://t.co/Lw3F6gyKT0 https://t.co/aCC1YaXHZS,Mon Sep 24 11:30:03 +0000 2018,0.0,0.0,0.0,1.0,87
CNN,Here are 5 things you need to know today https://t.co/37fTXrCund https://t.co/dxM28hiCuU,Mon Sep 24 11:00:16 +0000 2018,0.0,0.0,0.0,1.0,88
CNN,"What has two heads, is extremely rare and doesn't have a long life expectancy?

This two-headed baby copperhead, wh… https://t.co/IQL0VGyMgf",Mon Sep 24 10:52:01 +0000 2018,0.0,0.0,0.0,1.0,89
CNN,Golfer Justin Rose wins $10 million FedExCup https://t.co/VfR6ow2tDA https://t.co/FWD1AjHhn4,Mon Sep 24 10:45:21 +0000 2018,0.5719,0.316,0.0,0.684,90
CNN,"Germany's spy chief, removed from his job after being accused of far-right sympathies but moved to a more senior go… https://t.co/8wWt6V72XZ",Mon Sep 24 10:06:05 +0000 2018,-0.1531,0.0,0.078,0.922,91
CNN,Google's CEO has responded to reports that some staff had discussed tweaking search results to show a pro-immigrati… https://t.co/AB83RmKvQe,Mon Sep 24 09:58:09 +0000 2018,0.0,0.0,0.0,1.0,92
CNN,"""They have Tomy Onboard and he is conscious and talking...FANTASTIC NEWS..WELL DONE ALL INVOLVED INCREDIBLE NEWS!!!… https://t.co/hgjr0Xkfct",Mon Sep 24 09:47:02 +0000 2018,0.0,0.0,0.0,1.0,93
CNN,Why Pope Francis and Pope Emeritus Benedict won't answer the accusations dividing their church… https://t.co/5BYU9DHe36,Mon Sep 24 09:32:59 +0000 2018,0.2411,0.123,0.0,0.877,94
CNN,Indian Prime Minister Narendra Modi promises free health coverage for half a billion -- but can he deliver?… https://t.co/RsqSwqBLCR,Mon Sep 24 09:22:02 +0000 2018,0.4497,0.198,0.0,0.802,95
